Track,Engine,FinishTime,TopSpeedReached,TimeTo30,TimeTo60,CheckPoint1,CheckPoint2,CheckPoint3,CheckPoint2_66
ComplexTrack,Gauss,28.24,67.27,4.66,12.59,10.76,20.19,24.54,0
OvalTrack,Gauss,23.23,78.27,4.68,11.36,9.75,14.94,20.85,1
ComplexTrack,Gauss,30.57,68.47,4.65,12.39,11,20.95,26.61,0
ComplexTrack,Gauss,26.77,74.97,4.68,12.33,10.55,19.18,23.2,0
ComplexTrack,Nightingale,28.25,72.9,5.48,16.37,11.64,20.74,24.33,0
OvalTrack,Bayes,24.08,69.21,4.32,13.6,9.75,15.67,22.02,1
OvalTrack,Nightingale,23.98,76.37,5.45,14.5,6.98,10.26,12.9,1
ComplexTrack,Gauss,28.3,74.87,4.67,16.65,11.82,20.84,24.36,0
StraightTrack,Bayes,17.26,66.11,4.26,13.5,7.45,11.31,14.66,1
StraightTrack,Nightingale,18.46,68.64,5.42,15.08,8.32,12.52,15.91,0
StraightTrack,Bayes,17.26,66.26,4.25,13.47,7.48,11.36,14.68,1
OvalTrack,Gauss,28.97,71.35,3.81,8.79,8.82,18.34,26.75,1
StraightTrack,Nightingale,19.49,68.5,6.91,15.88,9.44,13.61,16.94,0
ComplexTrack,Gauss,26.7,78.36,4.64,15.66,10.81,19.92,23.29,0
OvalTrack,Nightingale,25.64,74.88,6.86,16.47,12,18.1,23.72,0
StraightTrack,Bayes,17.47,66.31,4.53,13.65,7.73,11.59,14.89,0
ComplexTrack,Nightingale,30.15,70.68,5.49,21.67,11.7,22.49,26.36,0
ComplexTrack,Bayes,27.93,67.37,4.26,15.33,10.74,20.21,24.11,0
OvalTrack,Nightingale,26.1,70.46,5.48,14.59,10.63,16.56,22.94,1
ComplexTrack,Nightingale,27.45,76.02,5.47,15.7,11.6,20.43,24.03,0
StraightTrack,Bayes,18.25,65.85,5.13,14.55,8.35,12.33,15.65,0
OvalTrack,Bayes,31.03,66.45,4.24,13.58,9.67,15.81,22.42,1
OvalTrack,Bayes,23.66,70.16,4.25,13.53,9.94,15.81,21.68,0
StraightTrack,Bayes,17.5,64.9,4.54,13.67,7.73,11.61,14.9,0
StraightTrack,Gauss,27.66,66.84,4.04,9.56,7.4,20.07,24.86,0
ComplexTrack,Gauss,27.16,75.09,4.68,12.83,10.81,19.58,23.46,0
OvalTrack,Gauss,26.68,70.37,3.76,13.26,9.25,15.29,24.11,1
StraightTrack,Nightingale,18.28,68.54,5.49,14.57,8.35,12.39,15.74,0
OvalTrack,Gauss,28.07,78.04,4.68,11.4,10.28,15.53,24.82,1
ComplexTrack,Nightingale,27.07,72.86,5.48,16.08,11.54,20.17,23.76,0
StraightTrack,Bayes,18.02,66.28,5.11,14.22,8.31,12.11,15.45,0
StraightTrack,Gauss,17.7,78.31,5.72,12.33,8.84,12.5,15.48,0
StraightTrack,Bayes,17.28,66.22,4.3,13.44,7.52,11.37,14.69,1
OvalTrack,Nightingale,24.36,71.79,5.39,14.52,6.96,10.26,12.93,1
StraightTrack,Nightingale,18.17,67.41,5.43,14.36,8.29,12.3,15.63,0
OvalTrack,Nightingale,24.58,76.9,5.42,14.6,10.85,16.97,22.74,0
ComplexTrack,Bayes,28.54,67.99,4.26,15.17,10.72,19.66,23.58,0
OvalTrack,Bayes,23.26,69.92,4.25,13.61,9.66,15.52,22.76,0
